nome,clube,posicao,preco,variacao,ult_ponto,media,jogo,roubada_bola,gol,assistencia,jogo_sem_sofrer_gol,finalizacao_fora,finalizacao_fora,finalizacao_defendida,finalizacao_trave,defesa_dificil,defesa_penalti,gol_contra,cartao_vermelho,cartao_amarelo,penalti_perdido,gol_sofrido,falta_cometida,impedimento,passe_errado
Abel Braga,Fluminense,T�cnico,11.57,-0.4,0.93,3.23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aderllan Santos,S�o Paulo,Zagueiro,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adilson,Atl�tico-MG,Meia,4.06,0.15,0.9,0.3,12,14,0,0,0,10,2,0,0,0,0,0,0,4,0,0,23,1,22
Alan Santos,Coritiba,Meia,6.3,0.89,9.8,2.42,14,26,0,0,0,8,4,3,1,0,0,0,0,2,0,0,18,1,34
Alejandro Guerra,Palmeiras,Meia,13.82,0.66,4.5,5.43,14,17,5,3,0,25,8,8,0,0,0,0,0,3,0,0,22,2,53
Alex Silva,Atl�tico-MG,Lateral,4.91,0,0,3.58,9,14,0,3,2,12,2,0,0,0,0,0,0,3,0,0,21,0,25
Alison,Santos,Meia,5.28,0.64,4.8,3.08,13,22,1,0,0,16,0,0,0,0,0,0,0,1,0,0,13,0,16
Anderson Martins,Vasco,Zagueiro,9.41,0.97,4.5,2.05,2,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3,0,5
Andr�,Sport,Atacante,10.74,0,0,5.19,19,17,9,1,0,32,18,9,1,0,0,0,0,3,0,0,42,14,48
Andr�s R�os,Vasco,Atacante,4.55,2.2,9.8,3.25,2,2,0,1,0,3,1,0,0,0,0,0,0,1,0,0,3,0,2
Andrigo,Atl�tico-GO,Meia,5.53,0.09,-0.4,2.85,21,30,2,2,0,12,13,8,1,0,0,0,0,5,0,0,19,1,79
�ngel Romero,Corinthians,Atacante,12.33,0,0,4.46,16,30,2,2,0,51,5,7,0,0,0,0,0,5,0,0,15,11,62
Apodi,Chapecoense,Lateral,7.38,-1.03,1.9,2.76,19,25,0,0,5,38,10,6,0,0,0,0,0,6,0,0,44,2,40
Aranha,Ponte Preta,Goleiro,11.39,0.41,-1.3,4.14,21,1,0,0,9,3,0,0,0,33,0,0,0,2,0,27,0,0,8
Arnaldo,Botafogo,Lateral,9.72,0.38,6.1,4.88,16,34,0,1,6,26,0,2,0,0,0,0,0,2,0,0,24,0,46
Arthur,Gr�mio,Meia,8.85,0,0,4.29,16,38,1,0,0,33,0,1,0,0,0,0,0,3,0,0,11,0,33
Arthur,Chapecoense,Atacante,10.08,-0.4,-3.7,4.75,20,18,4,5,0,45,16,13,1,0,0,0,0,4,0,0,36,5,47
Berr�o,Flamengo,Atacante,3.86,-0.3,0.7,0.89,13,5,2,0,0,8,1,2,0,0,0,0,0,2,0,0,14,1,27
